crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3,doy1,doy2,land_use,year
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl208,1998
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl208,1998
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl208,1998
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl209,1998
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl209,1998
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl209,1998
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl209,1998
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl209,1998
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl209,1998
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl209,1998
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl209,1998
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl209,1998
berm,3,10,3,20,plant,lmix,NA,NA,69,79,agrl230,1997
berm,9,1,9,15,tillage,fallplow,NA,NA,244,258,agrl230,1997
berm,9,16,10,1,kill_only,lmix,NA,NA,259,274,agrl230,1997
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl230,1997
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl230,1997
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl230,1997
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl230,1999
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl230,1999
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl230,1999
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl230,1999
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl230,1999
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl230,1999
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl230,1999
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl230,1999
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl230,1999
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl239,1998
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl239,1998
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl239,1998
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl239,1998
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl239,1998
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl239,1998
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl239,1998
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl239,1998
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl239,1998
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl240,1998
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl240,1998
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl240,1998
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl240,1998
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl240,1998
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl240,1998
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl240,1998
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl240,1998
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl240,1998
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl246,1997
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl246,1997
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl246,1997
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl246,1997
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl246,1997
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl246,1997
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl246,1997
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl246,1997
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl246,1997
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl247,1997
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl247,1997
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl247,1997
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl247,1997
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl247,1997
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl247,1997
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl247,1997
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl247,1997
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl247,1997
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl247,1999
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl247,1999
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl247,1999
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl247,1999
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl247,1999
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl247,1999
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl247,1999
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl247,1999
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl247,1999
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl248,1997
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl248,1997
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl248,1997
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl248,1997
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl248,1997
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl248,1997
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl248,1997
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl248,1997
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl248,1997
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl250,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl250,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl250,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl250,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl250,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl250,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl250,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl250,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl250,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl250,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl250,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl250,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl250,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl250,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl251,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl251,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl251,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl251,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl251,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl251,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl251,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl251,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl251,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl251,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl251,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl251,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl251,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl251,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl252,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl252,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl252,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl252,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl252,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl252,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl252,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl252,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl252,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl252,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl252,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl252,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl252,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl252,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl253,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl253,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl253,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl253,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl253,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl253,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl253,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl253,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl253,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl253,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl253,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl253,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl253,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl253,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl254,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl254,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl254,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl254,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl254,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl254,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl254,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl254,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl254,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl254,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl254,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl254,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl254,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl254,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl255,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl255,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl255,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl255,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl255,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl255,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl255,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl255,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl255,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl255,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl255,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl255,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl255,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl255,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl256,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl256,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl256,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl256,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl256,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl256,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl256,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl256,1999
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl256,1999
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl256,1999
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl256,1999
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl256,1999
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl256,1999
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl256,1999
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl256,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl256,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl256,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl256,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl256,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl256,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl256,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl257,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl257,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl257,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl257,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl257,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl257,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl257,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl257,1999
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl257,1999
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl257,1999
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl257,1999
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl257,1999
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl257,1999
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl257,1999
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl257,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl257,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl257,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl257,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl257,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl257,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl257,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl258,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl258,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl258,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl258,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl258,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl258,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl258,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl258,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl258,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl258,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl258,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl258,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl258,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl258,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl259,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl259,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl259,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl259,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl259,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl259,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl259,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl259,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl259,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl259,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl259,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl259,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl259,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl259,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl260,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl260,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl260,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl260,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl260,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl260,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl260,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl260,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl260,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl260,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl260,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl260,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl260,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl260,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl261,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl261,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl261,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl261,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl261,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl261,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl261,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl261,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl261,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl261,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl261,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl261,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl261,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl261,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl262,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl262,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl262,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl262,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl262,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl262,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl262,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl262,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl262,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl262,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl262,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl262,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl262,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl262,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl263,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl263,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl263,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl263,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl263,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl263,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl263,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl263,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl263,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl263,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl263,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl263,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl263,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl263,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl264,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl264,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl264,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl264,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl264,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl264,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl264,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl264,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl264,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl264,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl264,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl264,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl264,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl264,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl265,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl265,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl265,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl265,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl265,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl265,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl265,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl265,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl265,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl265,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl265,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl265,2001
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl265,2001
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl265,2001
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl266,1996
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl266,1996
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl266,1996
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl266,1996
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl266,1996
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl266,1996
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl266,1996
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl266,2001
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl266,2001
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl266,2001
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl266,2001
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl266,2001
